group,bad_word,count,freq,score,normalized_score
Black Woman,violence,7,8.265829062654984e-05,0.35345435,2.9215932385518264e-05
White Man,bigger,21,5.725378147594796e-05,0.052145038,2.9855006107070022e-06
Black Man,bigger,8,5.9714415806405865e-05,0.052145038,3.113810481372834e-06
White Woman,bigger,23,9.56814390488433e-05,0.052145038,4.989312275096617e-06
Black Woman,bigger,4,4.7233308929457055e-05,0.052145038,2.4629826889922773e-06
White Man,god,54,0.00014722400950958046,0.06433149,9.471139895525482e-06
Black Man,god,18,0.0001343574355644132,0.06433149,8.643414022437692e-06
White Woman,god,64,0.0002662440043098248,0.06433149,1.712787350081745e-05
Black Woman,god,53,0.000625841343315306,0.06433149,4.026130611907518e-05
White Man,faith,6,1.6358223278842275e-05,0.04455051,7.287671897662956e-07
Black Man,faith,3,2.23929059274022e-05,0.04455051,9.97615379447791e-07
White Woman,faith,10,4.160062567341013e-05,0.04455051,1.853329090069515e-06
Black Woman,faith,2,2.3616654464728527e-05,0.04455051,1.052134000897433e-06
White Man,terror,9,2.453733491826341e-05,0.20498687,5.029831483036522e-06
White Woman,terror,1,4.1600625673410125e-06,0.20498687,8.527582046833984e-07
White Man,sick,9,2.453733491826341e-05,0.42981178,1.054643559767495e-05
Black Man,sick,12,8.95716237096088e-05,0.42981178,3.8498939024117154e-05
White Woman,sick,12,4.9920750808092154e-05,0.42981178,2.1456526763762525e-05
Black Woman,sick,6,7.084996339418558e-05,0.42981178,3.0452148879389745e-05
White Man,gay,14,3.816918765063197e-05,0.77029157,2.9401403481029913e-05
Black Man,gay,6,4.47858118548044e-05,0.77029157,3.4498133327361894e-05
White Woman,gay,7,2.912043797138709e-05,0.77029157,2.2431227884067376e-05
Black Woman,gay,16,0.00018893323571782822,0.77029157,0.00014553367876626598
White Man,gross,1,2.7263705464737124e-06,0.6470585,1.7641212362454605e-06
Black Man,gross,1,7.464301975800733e-06,0.6470585,4.829840040008659e-06
White Woman,gross,2,8.320125134682025e-06,0.6470585,5.383607689459649e-06
Black Woman,gross,2,2.3616654464728527e-05,0.6470585,1.5281357012965545e-05
White Man,drug,15,4.0895558197105685e-05,0.17366838,7.1022653412870655e-06
Black Man,drug,4,2.9857207903202933e-05,0.17366838,5.185252927872451e-06
White Woman,drug,4,1.664025026936405e-05,0.17366838,2.8898853070750186e-06
Black Woman,drug,8,9.446661785891411e-05,0.17366838,1.6405864487636685e-05
White Man,conspiracy,2,5.452741092947425e-06,0.105554484,5.755612724516615e-07
White Woman,conspiracy,2,8.320125134682025e-06,0.105554484,8.782265154067917e-07
White Man,dirty,7,1.9084593825315986e-05,0.65531254,1.2506373654536135e-05
Black Man,dirty,1,7.464301975800733e-06,0.65531254,4.891450687088998e-06
White Woman,dirty,4,1.664025026936405e-05,0.65531254,1.090456467025264e-05
Black Woman,dirty,2,2.3616654464728527e-05,0.65531254,1.5476289823583592e-05
White Man,sexual,16,4.36219287435794e-05,0.4523349,1.973172077603411e-05
Black Man,sexual,5,3.732150987900367e-05,0.4523349,1.6881821438968136e-05
White Woman,sexual,13,5.4080813375433166e-05,0.4523349,2.4462639310095223e-05
Black Woman,sexual,6,7.084996339418558e-05,0.4523349,3.204791110691259e-05
White Man,nasty,3,8.179111639421138e-06,0.46946594,3.839814334165785e-06
White Woman,nasty,1,4.1600625673410125e-06,0.46946594,1.953007683635562e-06
Black Woman,nasty,2,2.3616654464728527e-05,0.46946594,1.1087214887938975e-05
White Man,fire,46,0.00012541304513779078,0.3018196,3.785211511826996e-05
Black Man,fire,16,0.00011942883161281173,0.3018196,3.6045962185846194e-05
White Woman,fire,19,7.904118877947925e-05,0.3018196,2.3856179980946918e-05
Black Woman,fire,7,8.265829062654984e-05,0.3018196,2.4947892213589024e-05
White Man,pee,1,2.7263705464737124e-06,0.39509538,1.0771764070798391e-06
White Man,blacks,1,2.7263705464737124e-06,0.4635984,1.2639410231523388e-06
Black Man,blacks,3,2.23929059274022e-05,0.4635984,1.0381315359294176e-05
White Man,whites,3,8.179111639421138e-06,0.31089434,2.5428395149241523e-06
Black Man,whites,1,7.464301975800733e-06,0.31089434,2.320609236327265e-06
White Man,fat,5,1.3631852732368562e-05,0.4334753,5.909071452719282e-06
White Woman,fat,8,3.32805005387281e-05,0.4334753,1.4426274955175326e-05
Black Woman,fat,1,1.1808327232364264e-05,0.4334753,5.118618189547269e-06
White Man,republican,1,2.7263705464737124e-06,0.07358484,2.0061954044298069e-07
White Man,taboo,1,2.7263705464737124e-06,0.078481056,2.13968439534554e-07
White Man,kills,6,1.6358223278842275e-05,0.7093121,1.16030857061845e-05
Black Man,kills,5,3.732150987900367e-05,0.7093121,2.6472598547446836e-05
White Woman,kills,10,4.160062567341013e-05,0.7093121,2.9507827157720455e-05
Black Woman,kills,4,4.7233308929457055e-05,0.7093121,3.3503157546701936e-05
White Man,pros,8,2.18109643717897e-05,0.07616037,1.6611311166123213e-06
Black Man,pros,2,1.4928603951601466e-05,0.07616037,1.1369680005374297e-06
White Woman,pros,6,2.4960375404046077e-05,0.07616037,1.9009914261110489e-06
Black Woman,pros,2,2.3616654464728527e-05,0.07616037,1.7986531421958767e-06
White Man,interracial,1,2.7263705464737124e-06,0.18390799,5.01401327197182e-07
White Woman,interracial,3,1.2480187702023038e-05,0.18390799,2.295206235101776e-06
White Man,racial,4,1.090548218589485e-05,0.24095482,2.6277284971155e-06
Black Man,racial,2,1.4928603951601466e-05,0.24095482,3.5971190780094196e-06
White Woman,racial,3,1.2480187702023038e-05,0.24095482,3.0071613813071746e-06
Black Woman,racial,3,3.542498169709279e-05,0.24095482,8.535820088326287e-06
White Man,mafia,11,2.9990076011210837e-05,0.28090814,8.424456470767854e-06
Black Man,mafia,1,7.464301975800733e-06,0.28090814,2.0967831844205086e-06
White Man,allah,1,2.7263705464737124e-06,0.17826083,4.860050765019576e-07
White Man,idiot,4,1.090548218589485e-05,0.95054984,1.03662043469252e-05
White Woman,idiot,1,4.1600625673410125e-06,0.95054984,3.9543468077759885e-06
Black Woman,idiot,1,1.1808327232364264e-05,0.95054984,1.1224403561391493e-05
White Man,homicide,1,2.7263705464737124e-06,0.53490317,1.458344247903421e-06
White Man,killing,26,7.088563420831652e-05,0.6350775,4.501787135893213e-05
Black Man,killing,9,6.71787177822066e-05,0.6350775,4.2663692142329305e-05
White Woman,killing,10,4.160062567341013e-05,0.6350775,2.6419621351105122e-05
Black Woman,killing,3,3.542498169709279e-05,0.6350775,2.2497608813735443e-05
White Man,criminal,4,1.090548218589485e-05,0.36842522,4.017854673544391e-06
Black Man,criminal,1,7.464301975800733e-06,0.36842522,2.75003709758082e-06
White Woman,criminal,2,8.320125134682025e-06,0.36842522,3.0653439331727546e-06
Black Woman,criminal,1,1.1808327232364264e-05,0.36842522,4.350485558415795e-06
White Man,hook,5,1.3631852732368562e-05,0.06862506,9.354867116699565e-07
Black Man,hook,2,1.4928603951601466e-05,0.06862506,1.0244763418948877e-06
White Woman,hook,6,2.4960375404046077e-05,0.06862506,1.7129072597251863e-06
White Man,boom,6,1.6358223278842275e-05,0.09824243,1.6070716053960329e-06
Black Man,boom,10,7.464301975800733e-05,0.09824243,7.333111643564653e-06
White Woman,boom,4,1.664025026936405e-05,0.09824243,1.634778622270479e-06
Black Woman,boom,2,2.3616654464728527e-05,0.09824243,2.32015752308528e-06
White Man,hapa,2,5.452741092947425e-06,0.05575107,3.039961503647884e-07
White Man,rape,3,8.179111639421138e-06,0.71296716,5.831437996881033e-06
White Woman,rape,3,1.2480187702023038e-05,0.71296716,8.897963982178293e-06
White Man,destroy,8,2.18109643717897e-05,0.54291934,1.1841594381495578e-05
Black Man,destroy,3,2.23929059274022e-05,0.54291934,1.2157541706787289e-05
White Woman,destroy,3,1.2480187702023038e-05,0.54291934,6.775735270258464e-06
Black Woman,destroy,1,1.1808327232364264e-05,0.54291934,6.410969227499232e-06
White Man,sexually,3,8.179111639421138e-06,0.45887727,3.753208420122796e-06
Black Man,sexually,2,1.4928603951601466e-05,0.45887727,6.850397026222093e-06
White Woman,sexually,1,4.1600625673410125e-06,0.45887727,1.908958153930635e-06
White Man,killer,12,3.271644655768455e-05,0.5560701,1.8192637708976305e-05
Black Man,killer,3,2.23929059274022e-05,0.5560701,1.2452025438341133e-05
Black Woman,killer,1,1.1808327232364264e-05,0.5560701,6.566257704933519e-06
White Man,laid,7,1.9084593825315986e-05,0.18400922,3.511741223813211e-06
Black Man,laid,1,7.464301975800733e-06,0.18400922,1.373500384411552e-06
White Woman,laid,5,2.0800312836705065e-05,0.18400922,3.827449340838086e-06
White Man,girls,37,0.00010087571021952735,0.14870906,1.5001132043578307e-05
Black Man,girls,8,5.9714415806405865e-05,0.14870906,8.880074643019758e-06
White Woman,girls,12,4.9920750808092154e-05,0.14870906,7.4236679271656246e-06
Black Woman,girls,15,0.00017712490848546396,0.14870906,2.634007864345937e-05
White Man,weapon,7,1.9084593825315986e-05,0.2411455,4.6021639203027365e-06
Black Man,weapon,1,7.464301975800733e-06,0.2411455,1.7999828321054557e-06
White Woman,weapon,2,8.320125134682025e-06,0.2411455,2.006360735665464e-06
White Man,explosion,3,8.179111639421138e-06,0.15852448,1.2965894195011833e-06
Black Man,explosion,1,7.464301975800733e-06,0.15852448,1.1832745892767837e-06
White Woman,explosion,1,4.1600625673410125e-06,0.15852448,6.59471755255199e-07
Black Woman,explosion,1,1.1808327232364264e-05,0.15852448,1.871908934180384e-06
White Man,harder,10,2.7263705464737124e-05,0.061304625,1.67139123962616e-06
