group,word,categories,count
White Man,end,"['relativ', 'time']",295
White Man,your,"['function', 'pronoun', 'ppron', 'you', 'social']",535
White Man,fun,"['adj', 'affect', 'posemo', 'leisure']",197
White Man,superhero,[],59
White Man,stuff,"['function', 'pronoun', 'ipron']",256
White Man,throne,"['drives', 'power']",6
White Man,while,"['function', 'conj', 'relativ', 'time']",244
White Man,telling,"['verb', 'social']",69
White Man,story,['social'],820
White Man,interesting,"['affect', 'posemo']",216
White Man,fascinating,[],32
White Man,colorful,"['percept', 'see']",14
White Man,vibrant,[],13
White Man,most,"['adj', 'compare', 'quant', 'cogproc', 'tentat']",441
White Man,people,['social'],743
White Man,who,"['function', 'pronoun', 'ipron', 'interrog', 'social']",796
White Man,go,"['verb', 'focuspresent', 'relativ', 'motion']",570
White Man,will,"['function', 'auxverb', 'verb', 'focusfuture']",394
White Man,enjoy,"['affect', 'posemo']",117
White Man,worth,['money'],99
White Man,paying,"['work', 'money']",10
White Man,money,['money'],47
White Man,watching,"['verb', 'percept', 'see']",384
White Man,buying,['money'],12
White Man,blu-ray,['leisure'],31
White Man,purple,"['percept', 'see']",3
White Man,blue,"['adj', 'percept', 'see']",7
White Man,package,[],10
White Man,isn't,"['function', 'auxverb', 'negate', 'verb', 'cogproc', 'differ', 'focuspresent']",138
White Man,missed,"['verb', 'affect', 'negemo', 'sad', 'focuspast']",21
White Man,opportunity,"['affect', 'posemo', 'drives', 'achiev', 'reward']",22
White Man,marketing,"['work', 'money']",5
White Man,personal,"['adj', 'affect', 'social']",69
White Man,favorite,"['adj', 'affect', 'posemo']",261
White Man,color,"['percept', 'see']",60
White Man,scheme,[],8
White Man,mine,"['function', 'pronoun', 'ppron', 'i']",30
White Man,here,"['function', 'adverb']",570
White Man,upon,"['function', 'prep', 'relativ', 'space']",36
White Man,us,"['function', 'pronoun', 'ppron', 'we', 'social', 'drives', 'affiliation']",270
White Man,seen,"['verb', 'percept', 'see', 'focuspast']",535
White Man,whatever,"['function', 'pronoun', 'ipron', 'interrog']",86
White Man,thought,"['verb', 'cogproc', 'insight']",385
White Man,comment,['social'],89
White Man,below,"['function', 'prep', 'drives', 'power', 'relativ', 'space']",174
White Man,let,"['function', 'auxverb', 'verb']",228
White Man,always,"['cogproc', 'certain', 'relativ', 'time']",299
White Man,you've,"['function', 'pronoun', 'ppron', 'you', 'auxverb', 'verb', 'social', 'focuspast']",158
White Man,click,"['percept', 'hear']",78
White Man,,[],311
White Man,either,"['adj', 'compare', 'quant', 'cogproc', 'differ']",84
White Man,guys,"['social', 'friend', 'male']",457
White Man,let's,"['function', 'pronoun', 'ppron', 'we', 'verb', 'social', 'drives', 'affiliation', 'focuspresent']",171
White Man,movie's,['leisure'],21
White Man,made,"['verb', 'cogproc', 'cause', 'focuspast']",314
White Man,must,"['function', 'auxverb', 'verb', 'cogproc', 'discrep', 'certain']",51
White Man,some,"['quant', 'cogproc', 'tentat']",1029
White Man,secret,"['adj', 'social', 'cogproc', 'insight']",22
White Man,formula,[],14
White Man,releasing,[],5
White Man,month,"['relativ', 'time']",18
White Man,February,[],5
White Man,equals,"['adj', 'compare', 'quant']",4
White Man,success,"['affect', 'posemo', 'drives', 'achiev', 'reward', 'work']",24
White Man,cover,[],23
White Man,obligatory,[],1
White Man,plot,[],132
White Man,details,[],38
White Man,rises,"['relativ', 'motion', 'space']",6
White Man,technologically,[],1
White Man,advanced,"['drives', 'achiev', 'reward', 'relativ', 'motion']",6
White Man,African,[],6
White Man,nation,"['relativ', 'space']",11
White Man,Apollo,[],1
White Man,Creed's,[],1
White Man,son,"['social', 'family', 'male']",23
White Man,once,"['number', 'relativ', 'time']",153
White Man,quickly,"['relativ', 'motion', 'time']",34
White Man,before,"['function', 'prep', 'adj', 'compare', 'relativ', 'time']",307
White Man,enter,"['verb', 'focuspresent', 'relativ', 'motion']",5
White Man,Conda,[],1
White Man,start,"['verb', 'focuspresent', 'relativ', 'time']",157
White Man,comparing,"['adj', 'compare']",12
White Man,The,[],109
White Man,Lion,[],6
White Man,video,"['percept', 'see', 'leisure']",234
White Man,brought,"['verb', 'focuspast', 'relativ', 'motion']",59
White Man,audible,"['percept', 'hear']",6
White Man,through,"['function', 'prep']",320
White Man,gym,['leisure'],3
White Man,driving,"['relativ', 'motion']",13
White Man,laying,['verb'],4
White Man,bed,['home'],11
White Man,fetal,[],1
White Man,eyes,"['verb', 'percept', 'see', 'bio', 'body']",82
White Man,closed,"['relativ', 'space']",7
White Man,200,[],4
White Man,o'clock,"['relativ', 'time']",4
White Man,warm,"['adj', 'affect', 'posemo', 'percept', 'feel']",11
White Man,comfy,[],1
White Man,put,"['verb', 'relativ', 'motion']",142
White Man,pillow,['home'],2
White Man,between,"['function', 'prep']",204
White Man,legs,"['bio', 'body']",2
White Man,check,[],157
White Man,audiblecom,"['percept', 'hear']",5
White Man,slash,[],14
White Man,flip,[],9
White Man,pick,"['verb', 'cogproc', 'cause', 'focuspresent']",34
White Man,picked,"['verb', 'cogproc', 'cause', 'focuspast']",9
White Man,five,['number'],92
White Man,hundred,['number'],25
White Man,free,"['adj', 'affect', 'posemo', 'money']",54
White Man,audiobook,"['percept', 'hear']",6
White Man,30-day,[],2
White Man,trial,[],7
White Man,why,"['function', 'adverb', 'interrog', 'cogproc', 'cause']",272
White Man,sure,"['affect', 'posemo', 'cogproc', 'certain']",206
White Man,use,"['verb', 'cogproc', 'cause', 'focuspresent']",113
White Man,link,"['cogproc', 'insight', 'relativ', 'space']",44
White Man,description,[],41
White Man,text,[],11
White Man,FLI,[],1
White Man,CK,[],7
White Man,p,[],2
White Man,IC,[],1
White Man,k,"['informal', 'netspeak', 'assent']",1
White Man,spell,[],7
White Man,name,['social'],123
White Man,500,[],9
White Man,hyped,[],8
White Man,based,"['verb', 'cogproc', 'cause']",58
White Man,few,"['adj', 'quant']",196
White Man,minutes,"['relativ', 'time']",106
White Man,civil,[],17
White Man,war,"['affect', 'negemo', 'anger', 'drives', 'power', 'death']",127
White Man,years,"['relativ', 'time']",182
White Man,ago,"['focuspast', 'relativ', 'time']",54
White Man,excited,"['adj', 'affect', 'posemo', 'drives', 'reward']",77
White Man,didn't,"['function', 'auxverb', 'negate', 'verb', 'cogproc', 'differ', 'focuspast']",399
White Man,sort,"['cogproc', 'tentat']",203
White Man,Batman,[],24
White Man,coolest,"['adj', 'compare', 'percept', 'feel']",7
White Man,costume,[],14
White Man,gadgets,[],1
White Man,speaking,"['verb', 'social', 'percept', 'hear']",37
White Man,Panthers,[],1
White Man,upgrades,[],2
White Man,changes,"['cogproc', 'cause', 'relativ', 'motion']",23
White Man,essentially,"['function', 'adverb']",58
White Man,gets,"['verb', 'drives', 'reward', 'focuspresent']",190
White Man,power,"['drives', 'power']",44
White Man,indestructible,[],1
White Man,ever,"['function', 'adverb', 'cogproc', 'certain', 'relativ', 'time']",258
White Man,visual,[],61
White Man,standpoint,[],9
White Man,tweaks,[],1
White Man,aesthetically,[],1
White Man,storytelling,[],40
White Man,perspective,"['cogproc', 'insight']",46
White Man,powered,[],2
White Man,stronger,"['adj', 'compare', 'affect', 'posemo', 'drives', 'power']",6
White Man,previous,"['focuspast', 'relativ', 'time']",44
White Man,future,"['focusfuture', 'relativ', 'time']",47
White Man,films,['leisure'],533
White Man,standing,[],10
White Man,side,"['relativ', 'space']",72
White Man,Hulk,[],17
White Man,carry,"['verb', 'focuspresent', 'relativ', 'motion']",22
White Man,own,[],169
White Man,sense,"['cogproc', 'insight', 'percept']",135
White Man,animated,[],60
White Man,called,"['verb', 'social', 'focuspast']",112
White Man,came,"['verb', 'focuspast', 'relativ', 'motion']",110
White Man,1994,[],1
White Man,true,"['adj', 'affect', 'posemo', 'cogproc', 'certain']",86
White Man,young,"['adj', 'relativ', 'time']",107
White Man,kid,"['social', 'drives', 'power']",61
White Man,watched,"['verb', 'percept', 'see', 'focuspast']",75
White Man,myself,"['function', 'pronoun', 'ppron', 'i']",73
White Man,try,"['verb', 'cogproc', 'tentat', 'drives', 'achiev', 'focuspresent']",92
White Man,life,"['bio', 'health']",341
White Man,day,"['relativ', 'time']",157
White Man,I'll,[],176
White Man,grow,"['verb', 'focuspresent', 'relativ', 'motion']",26
White Man,become,"['function', 'auxverb', 'verb', 'cogproc', 'insight', 'focuspresent']",78
White Man,lion,[],4
White Man,fight,"['affect', 'negemo', 'anger', 'social']",49
White Man,hyenas,[],1
